name,stars,text,timeSince,openStatus,key
Michael Wayne Crain,5.0,Best pizza in town by far,11 months ago,Closed,1000861546
John Goff,1.0,Something went wrong with our order.  Instead of contacting us they just didn’t fix the pizza and we show up to no food.  Nice way to end a day of driving for hours with two hungry kids.  👎,2 years ago,Closed,1000861546
Gary Shuttleworth,4.0,Really good pizza. No complaints what so ever.,2 years ago,Closed,1000861546
Kim Coleman,5.0,Always good pizza rolls.,2 years ago,Closed,1000861546
Chase Carpenter,3.0,Needs to be lower prices on the food.,7 years ago,Closed,1000861546
david herrington,4.0,Convenient place and good pizza,3 years ago,Closed,1000861546
melissa cardwell,4.0,,a year ago,Closed,1000861546
