name,stars,text,timeSince,openStatus,key
Kris Keith,5.0,"Love the buffet. Their pizza is the best and the games. While small, are a lot of fun for my kids. However, the pizza is greata Did I mention that?",2 years ago,Closed,2000671949
Sterling H,5.0,"A recent remodel shifted Mr. Gatti's more towards a buffet-style eatery, and I was afraid that it would basically be a Cici's now, however this is NOT the case. This place is still awesome! Their food is WAY better than Cici's. I recommend …More",2 years ago,Closed,2000671949
George Brite,5.0,Really good pizza. Nice salad bar.,a year ago,Closed,2000671949
Carrie Levonius,5.0,What a great place to bring the young soccer team for their end of season celebration. Everyone got to order what they want including beer for the adults. It's not just pizza! Then the kids gat to go play in the game room and we could see …More,3 years ago,Closed,2000671949
Tommy Valdez,5.0,Great service everyti.e we go for lunch. Dont change a thing.,a year ago,Closed,2000671949
Diane Settles,3.0,"Pizza was decent, good salad bar. Kids loved the big arcade area.",a year ago,Closed,2000671949
July Franklin,5.0,The Best pizza in the world. The wonderful service is the icing on the cake...,a year ago,Closed,2000671949
Alister Remington,5.0,Fantastic service! Excellent staff! Just over a great place! And the pizza is amazing as well! Personally recommend the Lasagna!,2 years ago,Closed,2000671949
Chloe Elizabeth,4.0,A great place to enjoy unlimited pizza and games with the family,a year ago,Closed,2000671949
PrinceofDeath,2.0,"Pizza is ok, but the last 3 or 4 times we have been here around lunch time the buffet is practically empty. They are never ready for lunch, they aren't on top of getting fresh pizzas out to the line ready for lunch.",a year ago,Closed,2000671949
Joseph DeGarmo,5.0,Excellent food. Better than CiCi's on Precinct Line Rd in Hurst.,a year ago,Closed,2000671949
tim crawford,5.0,Best Buffet ever need more stores but my secret for now.,a year ago,Closed,2000671949
Jami Webb,1.0,"My son and I had lunch here today. The meat on the pizzas was so dried out, curled burnt pepperoni and square mystery meat was tough. The sauce was nasty and pizza dough undercooked. The lettuce on the salad bar was soggy and awful!  I …More",a year ago,Closed,2000671949
An Cranford,4.0,"This place is right around the corner from our house so we go all the time. Now, I am pretty picky about my pizza. From the sauce to the crust to the amount of cheese and the even dispersment of the toppings.",a year ago,Closed,2000671949
Tim Rice,1.0,"Cold, old, chewy pizza. Bland very little real flavor. $5 bottled beer. Don’t waste your time.",a year ago,Closed,2000671949
Cynthia Alcorn,3.0,Ruined my childhood memory of excellent food. :(  Maybe they'll improve food quality.,a year ago,Closed,2000671949
Toretto Johnson,5.0,The buffet is very good with all you can eat.... salad bar....wine and beer you can drink. Great price and quality food.,2 years ago,Closed,2000671949
Joel H,5.0,"Pizza hit the spot! Sauce is good and kids loved it. Game room is fun, used to be free but now you have to pay for the games. Still a fun place to eat with the family.",3 years ago,Closed,2000671949
Scott Jepson,5.0,Very friendly. Great pizza. They'll make any pizza you want.,a year ago,Closed,2000671949
Victor Camara,5.0,"New spin on a great classic place. Pizza is pretty good too. Arcade games are decent and love the large Pacman! They should bring back classics they had, like 1492 game! Had fun there. Prizes could be better tho",2 years ago,Closed,2000671949
Steven Lovelace,5.0,"Wood fire oven gives this pizza a great flavor > nothing like it.
The ingredients are top quality.
I'm very glad Mr Gatti's re-opened after many years. …More",2 years ago,Closed,2000671949
Anthony Rainier,2.0,Average pizza. Average salad bar. Decent prices. Fun games but pricey.,2 years ago,Closed,2000671949
David F,4.0,"Great service, great quality/selection, great prices.",2 years ago,Closed,2000671949
Russell Rogers,4.0,"*** FYI, No pizza buffet at this location. ***

I just wanted you to know that because I'm familiar with these restaurants …More",2 years ago,Closed,2000671949
