name,stars,text,timeSince,openStatus,key
Edward Mirzakhanian,3.0,The pizzas we made were good little salty the problem was most time I mentioned  it but in overall was good.,a year ago,Open,209
J Jasne,5.0,"I placed my order online and went to pick it up, only to find that they hadn't received the order. Everyone was super nice about looking into it, even in the midst of a huge crowd. It was pretty cool to watch everyone behind the counter …More",a year ago,Open,209
Maricruz Jimenez,5.0,"Delicious food,  they have a great fresh berry salad, plus the idea of making your own pizza is great.",9 months ago,Open,209
Robert Marcotte,5.0,Outstanding thin crust pizza New York style. While you're here make sure to try the Blue Sky root beer it is as good as it gets for a root beer. Quick fast service. Stand in line and order your pizza custom made or standardized. Wait time …More,a year ago,Open,209
Tamra Smith,5.0,"I am still at a loss for words. About a month or so I went into Blaz Pizza on Colorado in Pasadena, ca, this is a place my mother and I  had the experience of being able to go to breakfast lunch or dinner weeky on Thursdays. My mother …More",9 months ago,Open,209
Casey Melcher,5.0,Always a great place.  You must get the build your own pizza of course. It's so good.,a year ago,Open,209
Bruno Manetta,5.0,Great food and staff,3 weeks ago,Open,209
Paul Blanco,5.0,Best build your own pizza. Fast service and delicious food. Gotta try the dough knots.,a year ago,Open,209
Justin Borges LA Realestate,5.0,"The pizza is amazing.  Blaze has perfected the fast food pizza model.  Short wait time, fresh delicious ingredients, and extremely affordable.  Well done Lebron.",a year ago,Open,209
Jeremy Barahona,5.0,"Welcoming staff, fast service, and tasty pizzas.",2 years ago,Open,209
Sandra Reyes,5.0,Delicious thin crust pizza. You get to add mix and ingredients you want. They make everything fast. The only downside is that there is always a snake line. The line moves pretty quickly.,3 years ago,Open,209
Tony Arcaro,1.0,worst customer service cannot contact anyone about a incorrect order,6 months ago,Open,209
Striker 50,5.0,They gave away my pizza on accident but they were nice enough to give me my pizza and give me an additional free one for the future. Had to wait another 20 minutes but they went above and beyond so I acknowledge that.,9 months ago,Open,209
Chad Snyder,5.0,Close to my job so I go here often. Go right before noon or after 1:30 M- F for a super quick experience.,8 months ago,Open,209
Fernie Ortiz,5.0,Love the pizzas here  I will be back again soon!!!!,5 months ago,Open,209
Luis Aldana,5.0,Good food fast and at a good price,2 years ago,Open,209
